,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.509,0.221,0.221,0.14800000000000002,0.14400000000000002,0.158,0.158,0.151,0.145,0.14800000000000002,0.221,0.221,0.275,0.616,0.363,0.616,0.509,0.752,0.363,0.363,0.9279999999999999,1.446,0.42700000000000005,0.42700000000000005,0.275,0.17,0.17800000000000002,0.363,0.221,0.245,0.616,1.446,0.509,1.155,0.509,0.221,0.509,1.155,0.313,0.245,1.155,2.3040000000000003,0.9279999999999999,0.509,0.752,0.363,0.363,0.221
1,0.42700000000000005,0.221,0.203,0.154,0.145,0.158,0.154,0.154,0.163,0.752,0.203,0.221,0.245,0.616,0.363,0.509,0.509,0.616,0.363,0.313,0.752,1.446,0.363,0.363,0.245,0.17800000000000002,0.203,0.363,0.203,0.221,0.509,1.155,0.509,1.155,0.509,0.221,0.42700000000000005,1.155,0.275,0.221,0.9279999999999999,2.3040000000000003,0.9279999999999999,0.42700000000000005,0.616,0.363,0.313,0.203
2,0.363,0.203,0.18899999999999997,0.154,0.616,0.221,0.17,0.17,0.158,0.616,0.203,0.203,0.221,0.509,0.313,0.509,0.42700000000000005,0.509,0.313,0.275,0.616,1.155,0.363,0.313,0.245,0.17800000000000002,0.203,0.313,0.203,0.221,0.42700000000000005,0.9279999999999999,0.363,0.9279999999999999,0.363,0.203,0.363,0.9279999999999999,0.245,0.221,0.9279999999999999,1.821,0.752,0.363,0.509,0.313,0.275,0.203
3,0.363,0.203,0.18899999999999997,0.154,0.509,0.221,0.17,0.245,0.509,0.616,0.18899999999999997,0.203,0.221,0.509,0.313,0.42700000000000005,0.363,0.509,0.313,0.245,0.509,0.9279999999999999,0.313,0.313,0.221,0.203,0.203,0.313,0.203,0.221,0.363,0.9279999999999999,0.363,0.752,0.363,0.203,0.313,0.9279999999999999,0.245,0.203,0.752,1.446,0.616,0.363,0.509,0.275,0.245,0.18899999999999997
4,0.313,0.203,0.275,0.42700000000000005,0.509,0.221,0.17800000000000002,0.221,0.509,0.509,0.203,0.203,0.221,0.42700000000000005,0.275,0.363,0.363,0.42700000000000005,0.275,0.245,0.509,0.9279999999999999,0.313,0.275,0.221,0.203,0.203,0.275,0.18899999999999997,0.203,0.363,0.752,0.363,0.616,0.363,0.18899999999999997,0.313,0.752,0.221,0.203,0.616,1.446,0.616,0.313,0.42700000000000005,0.275,0.245,0.18899999999999997
5,0.313,0.203,0.245,0.363,0.509,0.221,0.509,0.245,0.42700000000000005,0.509,0.203,0.203,0.203,0.363,0.245,0.363,0.313,0.363,0.245,0.245,0.509,0.9279999999999999,0.275,0.275,0.221,0.203,0.203,0.245,0.313,0.275,0.363,0.616,0.313,0.616,0.313,0.203,0.313,0.616,0.221,0.203,0.616,1.155,0.509,0.313,0.42700000000000005,0.245,0.245,0.17800000000000002
6,0.275,0.18899999999999997,0.245,0.363,0.363,0.221,0.42700000000000005,0.245,0.363,0.42700000000000005,0.245,0.275,0.275,0.363,0.245,0.313,0.313,0.363,0.245,0.221,0.363,0.616,0.245,0.245,0.203,0.313,0.363,0.245,0.313,0.245,0.313,0.616,0.313,0.509,0.313,0.18899999999999997,0.275,0.616,0.221,0.203,0.509,0.9279999999999999,0.509,0.275,0.363,0.245,0.275,0.42700000000000005
7,0.275,0.42700000000000005,0.313,0.313,0.363,0.203,0.363,0.221,0.363,0.363,0.221,0.245,0.245,0.313,0.245,0.313,0.275,0.313,0.245,0.221,0.363,0.616,0.275,0.245,0.221,0.313,0.313,0.245,0.275,0.245,0.313,0.509,0.275,0.509,0.275,0.313,0.245,0.509,0.245,0.221,0.509,0.9279999999999999,0.42700000000000005,0.275,0.363,0.245,0.245,0.363
8,0.245,0.363,0.313,0.313,0.363,0.363,0.363,0.221,0.363,0.363,0.313,0.363,0.275,0.313,0.221,0.313,0.245,0.313,0.245,0.245,0.363,0.616,0.245,0.275,0.245,0.275,0.313,0.221,0.245,0.221,0.275,0.509,0.245,0.509,0.245,0.275,0.245,0.509,0.245,0.313,0.42700000000000005,0.9279999999999999,0.363,0.245,0.313,0.221,0.245,0.363
9,0.245,0.363,0.313,0.313,0.313,0.363,0.363,0.221,0.313,0.313,0.313,0.313,0.245,0.313,0.245,0.275,0.245,0.313,0.245,0.221,0.313,0.509,0.245,0.275,0.245,0.245,0.313,0.313,0.363,0.313,0.275,0.509,0.245,0.42700000000000005,0.245,0.275,0.245,0.42700000000000005,0.245,0.313,0.42700000000000005,0.752,0.363,0.245,0.313,0.275,0.245,0.363
10,0.245,0.363,0.313,0.313,0.313,0.363,0.363,0.221,0.313,0.313,0.313,0.313,0.245,0.313,0.245,0.275,0.245,0.313,0.245,0.221,0.313,0.509,0.245,0.275,0.245,0.245,0.313,0.313,0.363,0.313,0.275,0.509,0.245,0.42700000000000005,0.245,0.275,0.245,0.42700000000000005,0.245,0.313,0.42700000000000005,0.752,0.363,0.245,0.313,0.275,0.245,0.363
